DateTime,Entries,UniqueIPs
1530468435,6153,6153
1530472034,6136,6136
1530475627,6151,6151
1530479231,6163,6163
1530482832,6156,6156
1530486431,6173,6173
1530490033,6156,6156
1530493631,6168,6168
1530497235,6154,6154
1530500834,6155,6155
1530504432,6181,6181
1530508027,6169,6169
1530511618,6148,6148
1530515227,6130,6130
1530518825,6107,6107
1530522422,6135,6135
1530526025,6130,6130
1530529626,6149,6149
1530533233,6131,6131
1530536829,6131,6131
1530540429,6123,6123
1530544031,6132,6132
1530547634,6160,6160
1530551232,6214,6214
1530554840,6295,6295
1530558456,6393,6393
1530562052,6470,6470
1530565653,6590,6590
1530569256,6637,6637
1530572857,6686,6686
1530576465,6755,6755
1530580061,6762,6762
1530583662,6792,6792
1530587268,6826,6826
1530590871,6898,6898
1530594468,6934,6934
1530598072,6931,6931
1530601671,6943,6943
1530605272,6930,6930
1530608876,6960,6960
1530612474,6970,6970
1530616077,7004,7004
1530619676,7012,7012
1530623278,7001,7001
1530626876,7016,7016
1530630474,7025,7025
1530634073,7060,7060
1530637680,7061,7061
1530641284,7038,7038
1530644877,7065,7065
1530648478,7059,7059
1530652080,7070,7070
1530655675,7071,7071
1530659276,7076,7076
1530662869,7045,7045
1530666474,7030,7030
1530670076,7035,7035
1530673678,7033,7033
1530677275,7056,7056
1530680878,7092,7092
1530684482,7071,7071
1530688078,7081,7081
1530691677,7086,7086
1530695263,7083,7083
1530698878,7072,7072
1530702477,7068,7068
1530706080,7091,7091
1530709674,7074,7074
1530713269,7064,7064
1530716873,7041,7041
1530720473,7087,7087
1530724080,7128,7128
1530727684,7178,7178
1530731285,7186,7186
1530734887,7203,7203
1530738485,7209,7209
1530742086,7212,7212
1530745688,7205,7205
1530749287,7222,7222
1530752882,7212,7212
1530756485,7189,7189
1530760094,7161,7161
1530763694,7161,7161
1530767277,7180,7180
1530770878,7180,7180
1530774487,7167,7167
1530778070,7159,7159
1530781680,7162,7162
1530785281,7165,7165
1530788877,7149,7149
1530792482,7166,7166
1530796081,7160,7160
1530799686,7141,7141
1530803281,7137,7137
1530806876,7117,7117
1530810477,7116,7116
1530814085,7131,7131
1530817689,7111,7111
1530821286,7127,7127
1530824887,7117,7117
1530828488,7122,7122
1530832091,7140,7140
1530835699,7159,7159
1530839299,7174,7174
1530842892,7151,7151
1530846488,7150,7150
1530850074,7154,7154
1530853694,7160,7160
1530857292,7164,7164
1530860895,7140,7140
1530864494,7145,7145
1530868093,7143,7143
1530871690,7124,7124
1530875291,7107,7107
1530878887,7098,7098
1530882492,7158,7158
1530886089,7158,7158
1530889690,7175,7175
1530893297,7202,7202
1530896900,7257,7257
1530900498,7277,7277
1530904108,7289,7289
1530907697,7320,7320
1530911298,7327,7327
1530914905,7330,7330
1530918499,7342,7342
1530922101,7332,7332
1530925710,7349,7349
1530929313,7343,7343
1530932907,7343,7343
1530936501,7348,7348
1530940106,7356,7356
1530943704,7360,7360
1530947305,7360,7360
1530950908,7365,7365
1530954508,7357,7357
1530958104,7346,7346
1530961705,7339,7339
1530965303,7314,7314
1530968902,7347,7347
1530972504,7305,7305
1530976086,7281,7281
1530979699,7289,7289
1530983303,7300,7300
1530986898,7311,7311
1530990502,7321,7321
1530994104,7295,7295
1530997698,7308,7308
1531001301,7303,7303
1531004900,7290,7290
1531008507,7273,7273
1531012096,7268,7268
1531015699,7277,7277
1531019299,7250,7250
1531022898,7251,7251
1531026501,7264,7264
1531030106,7269,7269
1531033702,7272,7272
1531037303,7265,7265
1531040904,7255,7255
1531044505,7255,7255
1531048102,7244,7244
1531051691,7222,7222
1531055300,7222,7222
1531058897,7233,7233
1531062488,7222,7222
1531066097,7231,7231
1531069696,7219,7219
1531073297,7238,7238
1531076946,7240,7240
1531080496,7232,7232
1531084093,7224,7224
1531087693,7224,7224
1531091295,7186,7186
1531094896,7175,7175
1531098488,7162,7162
1531102091,7189,7189
1531105691,7182,7182
1531109288,7167,7167
1531112891,7159,7159
1531116500,7164,7164
1531120088,7165,7165
1531123700,7174,7174
1531127296,7167,7167
1531130896,7162,7162
1531134478,7126,7126
1531138089,7122,7122
1531141690,7105,7105
1531145291,7128,7128
1531148878,7124,7124
1531152495,7105,7105
1531156090,7104,7104
1531159723,7074,7074
1531163290,7052,7052
1531166892,7037,7037
1531170487,6998,6998
1531174074,7003,7003
1531177695,6977,6977
1531181257,6960,6960
1531184880,6935,6935
1531188481,6923,6923
1531192075,6920,6920
1531195685,6873,6873
1531199267,6854,6854
1531202872,6837,6837
1531206467,6828,6828
1531210072,6812,6812
1531213672,6793,6793
1531217272,6793,6793
1531220869,6802,6802
1531224468,6835,6835
1531228073,6851,6851
1531231671,6875,6875
1531235275,6895,6895
1531238875,6894,6894
1531242476,6912,6912
1531246081,6924,6924
1531249680,6924,6924
1531253278,6924,6924
1531256876,6927,6927
1531260474,6946,6946
1531264079,6950,6950
1531267676,6928,6928
1531271275,6924,6924
1531274875,6919,6919
1531278477,6938,6938
1531282080,6941,6941
1531285685,6903,6903
1531289285,6904,6904
1531292883,6908,6908
1531296489,6892,6892
1531300089,6891,6891
1531303684,6911,6911
1531307267,6910,6910
1531310864,6880,6880
1531314467,6863,6863
1531318067,6874,6874
1531321672,6900,6900
1531325274,6853,6853
1531328872,6839,6839
1531332470,6832,6832
1531336076,6817,6817
1531339664,6808,6808
1531343273,6794,6794
1531346883,6808,6808
1531350471,6801,6801
1531354069,6780,6780
1531357672,6775,6775
1531361294,6774,6774
1531364873,6791,6791
1531368468,6775,6775
1531372076,6760,6760
1531375659,6743,6743
1531379272,6737,6737
1531382869,6726,6726
1531386473,6717,6717
1531390073,6719,6719
1531393669,6767,6767
1531397273,6742,6742
1531400871,6737,6737
1531404471,6739,6739
1531408071,6751,6751
1531411668,6750,6750
1531415274,6745,6745
1531418877,6724,6724
1531422470,6724,6724
1531426060,6704,6704
1531429677,6700,6700
1531433264,6709,6709
1531436862,6687,6687
1531440474,6657,6657
1531444066,6625,6625
1531447664,6623,6623
1531451267,6635,6635
1531454861,6622,6622
1531458466,6639,6639
1531462060,6645,6645
1531465650,6645,6645
1531469254,6639,6639
1531472848,6634,6634
1531476455,6653,6653
1531480062,6685,6685
1531483663,6739,6739
1531487262,6732,6732
1531490849,6716,6716
1531494457,6686,6686
1531498076,6686,6686
1531501662,6642,6642
1531505272,6644,6644
1531508869,6636,6636
1531512459,6595,6595
1531516062,6586,6586
1531519668,6589,6589
1531523267,6592,6592
1531526874,6590,6590
1531530460,6546,6546
1531534116,6524,6524
1531537653,6510,6510
1531541247,6518,6518
1531544858,6497,6497
1531548454,6495,6495
1531552050,6480,6480
1531555646,6459,6459
1531559251,6459,6459
1531562848,6466,6466
1531566444,6476,6476
1531570048,6477,6477
1531573639,6424,6424
1531577246,6402,6402
1531580842,6398,6398
1531584448,6397,6397
1531588052,6394,6394
1531591652,6378,6378
1531595251,6373,6373
1531598848,6374,6374
1531602450,6351,6351
1531606049,6357,6357
1531609644,6375,6375
1531613251,6382,6382
1531616854,6364,6364
1531620449,6329,6329
1531624051,6329,6329
1531627643,6344,6344
1531631249,6334,6334
1531634852,6327,6327
1531638449,6318,6318
1531642053,6332,6332
1531645651,6358,6358
1531649257,6396,6396
1531652857,6441,6441
1531656456,6498,6498
1531660055,6505,6505
1531663652,6504,6504
1531667240,6514,6514
1531670861,6551,6551
1531674462,6563,6563
1531678059,6560,6560
1531681658,6575,6575
1531685255,6601,6601
1531688864,6618,6618
1531692462,6626,6626
1531696059,6646,6646
1531699675,6662,6662
1531703263,6669,6669
1531706865,6647,6647
1531710460,6650,6650
1531714059,6640,6640
1531717666,6659,6659
1531721256,6648,6648
1531724859,6662,6662
1531728458,6661,6661
1531732050,6656,6656
1531735658,6676,6676
